04:12:54.170052pm: Receiver connected
04:13:00.461997pm: T: 1, From 1
04:13:05.140315pm: T: 1, From 1
04:13:09.721896pm: T: 0, From 1
04:13:20.108740pm: T: 6125, From 1
04:13:26.698876pm: T: 1290, From 1
04:13:31.165767pm: T: 1002, From 1
04:13:39.558019pm: T: 89, From 1
04:13:45.337352pm: T: 2, From 1
04:13:50.614049pm: T: 67, From 1
04:13:56.188936pm: T: 831, From 1
04:14:09.484896pm: T: 5397, From 1
04:14:18.125494pm: T: 5347, From 1
04:14:22.439778pm: T: 489, From 1
04:14:28.208142pm: T: 691, From 1
04:15:10.365864pm: T: 8776, From 1
04:15:20.404652pm: T: 3352, From 1
04:17:12.443945pm: T: 1801, From 1
04:17:22.699146pm: T: 878, From 1
04:18:41.095141pm: T: 10651, From 1
04:18:43.588382pm: T: 1536, From 1
04:18:55.000448pm: T: 170, From 1
04:19:01.208620pm: T: 4, From 1
04:19:06.374616pm: T: 2, From 1
04:19:11.257380pm: T: 0, From 1
04:19:36.302490pm: Receiver disconnected
